Question_ID,Question_Text,Scale_Type,Option_A,Option_B,Option_C,Option_D,Option_E,Option F,Option G,Option H,Option I,Option J,Option K,Option L
Q16,Tôi sẵn sàng giới thiệu sản phẩm X này cho người xung quanh cùng sử dụng.,Scale,1 - Hoàn toàn KHÔNG đồng ý,2 - KHÔNG đồng ý,3 - Bình thường,4 - Đồng ý,5 - Hoàn toàn Đồng ý,,,,,,,
Q17,Tôi chắc chắn sẽ tiếp tục chọn mua sản phẩm X trong những lần tiếp theo.,Scale,1 - Hoàn toàn KHÔNG đồng ý,2 - KHÔNG đồng ý,3 - Bình thường,4 - Đồng ý,5 - Hoàn toàn Đồng ý,,,,,,,
Q18,Tôi cảm thấy gắn bó và luôn ưu tiên lựa chọn sản phẩm X hơn các thương hiệu đối thủ.,Scale,1 - Hoàn toàn KHÔNG đồng ý,2 - KHÔNG đồng ý,3 - Bình thường,4 - Đồng ý,5 - Hoàn toàn Đồng ý,,,,,,,
Q19,Tôi sẵn sàng bảo vệ thương hiệu X khi nghe thấy những thông tin tiêu cực sai lệch.,Scale,1 - Hoàn toàn KHÔNG đồng ý,2 - KHÔNG đồng ý,3 - Bình thường,4 - Đồng ý,5 - Hoàn toàn Đồng ý,,,,,,,
Q20,"Trung bình một tháng, anh/chị chi trả khoảng bao nhiêu tiền cho việc mua sắm sản phẩm X này?",Scale,1 - Hoàn toàn KHÔNG đồng ý,2 - KHÔNG đồng ý,3 - Bình thường,4 - Đồng ý,5 - Hoàn toàn Đồng ý,,,,,,,
Q21,"Trên thang điểm từ 1 đến 10, anh/chị chấm bao nhiêu điểm cho mức độ uy tín tổng thể của Thương hiệu X?",Scale,1 - Hoàn toàn KHÔNG đồng ý,2 - KHÔNG đồng ý,3 - Bình thường,4 - Đồng ý,5 - Hoàn toàn Đồng ý,,,,,,,
Q22,Nội dung của câu này là a,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q23,Nội dung của câu này là b,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q24,Nội dung của câu này là c,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q25,Nội dung của câu này là d,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q26,Nội dung của câu này là e,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q27,Nội dung của câu này là f,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q28,Nội dung của câu này là g,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q29,Nội dung của câu này là h,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q30,Nội dung của câu này là i,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q31,Nội dung của câu này là j,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q32,Nội dung của câu này là k,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q33,Nội dung của câu này là l,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q34,Nội dung của câu này là m,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q35,Nội dung của câu này là n,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q36,Nội dung của câu này là o,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q37,Nội dung của câu này là p,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q38,Nội dung của câu này là q,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q39,Nội dung của câu này là r,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q40,Nội dung của câu này là s,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q41,Nội dung của câu này là t,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q42,Nội dung của câu này là u,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q43,Nội dung của câu này là v,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q44,Nội dung của câu này là bb,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q45,Nội dung của câu này là cc,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q46,Nội dung của câu này là đ,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q47,Nội dung của câu này là ee,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q48,Nội dung của câu này là ff,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q49,Nội dung của câu này là ab,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q50,Nội dung của câu này là ac,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q51,Nội dung của câu này là ad,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q52,Nội dung của câu này là af,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q53,Nội dung của câu này là ag,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q54,Nội dung của câu này là at,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q55,Nội dung của câu này là au,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q56,Nội dung của câu này là as,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q57,Nội dung của câu này là aw,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q58,Nội dung của câu này là az,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q59,Nội dung của câu này là am,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
Q60,Nội dung của câu này là an,Scale,1- Hoàn toàn phản đối,2- Phản đối mạnh mẽ,3- Phản đối,4- Hơi phản đối,5- Không thiên vị (Nghiêng về phản đối),6- Không đồng ý / Không phản đối (Trung lập),7- Có thiên vị (Nghiêng về đồng ý),8- Hơi đồng ý,9- Đồng ý,10- Đồng ý mạnh mẽ,11- Hoàn toàn đồng ý,12- Tán thành tuyệt đối
